Round;Current measured
"1;";3.47
"1;";3.47
"1;";3.47
"1;";3.47
"1;";3.47
"1;";3.46
"1;";3.47
"1;";3.47
"1;";3.46
"1;";3.47
"1;";3.48
"1;";3.48
"1;";3.48
"1;";3.48
"1;";3.47
"1;";3.49
"1;";3.49
"1;";3.49
"1;";3.48
"1;";3.46
"1;";3.45
"1;";3.45
"1;";3.45
"1;";3.46
"1;";3.48
"1;";3.52
"2;";3.71
"2;";3.73
"2;";3.72
"2;";3.73
"2;";3.72
"2;";3.73
"2;";3.73
"2;";3.73
"2;";3.73
"2;";3.73
"2;";3.73
"2;";3.73
"2;";3.73
"2;";3.73
"2;";3.73
"2;";3.73
"2;";3.73
"2;";3.72
"2;";3.72
"2;";3.72
"2;";3.72
"2;";3.72
"2;";3.71
"2;";3.74
"2;";3.74
"2;";3.72
"2;";3.72
"2;";3.72
"2;";3.72
"2;";3.72