Round;currentMeasure;elapsed
19;0.97;1195
19;0.99;2382
19;1.00;3568
19;0.99;4755
19;0.99;5942
19;0.99;7129
19;0.99;8316
19;0.99;9503
19;0.98;10799
19;0.98;11986
19;0.99;13173
19;0.98;14359
19;0.98;15547
19;0.98;16734
19;0.99;17921
19;0.99;19108
19;0.98;20294
19;0.99;21481
19;0.99;22670
19;0.99;23857
19;0.99;25045
19;0.99;26232
19;0.99;27418
19;0.99;28605
20;0.95;1195
20;0.98;2381
20;0.99;3568
20;1.00;4755
20;0.98;5942
20;0.98;7131
20;0.97;8318
20;0.97;9504
20;0.97;10691
20;0.97;11878
20;0.97;13065
20;0.97;14252
20;0.96;15438
20;0.96;16625
20;0.96;17812
20;0.96;19001
20;0.96;20189
20;0.97;21376
20;0.96;22562
20;0.97;23749
20;0.96;24936
20;0.96;26123
20;0.97;27310
20;0.96;28496
20;1.08;29683
21;1.09;1210
21;1.11;2405
21;1.10;3592
21;1.09;4781
21;1.09;5969
21;1.08;7157
21;1.09;8346
21;1.10;9534
21;1.09;10722
21;1.09;11910
21;1.10;13099
21;1.09;14289
21;1.09;15477
21;1.08;16666
21;1.08;17854
21;1.09;19042
21;1.09;20230
21;1.08;21462
21;1.09;22650
21;1.09;23839
21;1.09;25027
21;1.09;26215
21;1.09;27449
21;1.09;28637
22;1.14;1195
22;1.17;2383
22;1.17;3571
22;1.17;4760
22;1.15;5947
22;1.15;7136
22;1.15;8324
22;1.15;9512
22;1.15;10703
22;1.15;11891
22;1.15;13080
22;1.15;14267
22;1.15;15455
22;1.14;16644
22;1.15;17832
22;1.14;19021
22;1.14;20209
22;1.15;21396
22;1.15;22585
22;1.15;23781
22;1.14;24970
22;1.15;26158
22;1.15;27347
22;1.15;28535
23;1.12;1195
23;1.15;2384
23;1.14;3571
23;1.15;4759
23;1.14;5948
23;1.13;7139
23;1.13;8327
23;1.13;9516
23;1.12;10704
23;1.12;11893
23;1.12;13080
23;1.11;14269
23;1.12;15457
23;1.12;16645
23;1.11;17834
23;1.11;19022
23;1.11;20211
23;1.11;21400
23;1.11;22588
23;1.12;23777
23;1.12;24965
23;1.12;26154
23;1.12;27342
23;1.12;28529
23;1.16;29718
24;1.15;1195
24;1.18;2383
24;1.19;3572
24;1.17;4760
24;1.17;5948
24;1.16;7137
24;1.16;8324
24;1.16;9513
24;1.17;10701
24;1.17;11889
24;1.16;13078
24;1.16;14317
24;1.17;15506
24;1.16;16694
24;1.16;17881
24;1.17;19070
24;1.16;20258
24;1.16;21447
24;1.16;22635
24;1.17;23823
24;1.17;25012
24;1.17;26201
24;1.17;27390
24;1.18;28578
25;1.12;1195
25;1.15;2383
25;1.14;3572
25;1.15;4759
25;1.16;5948
25;1.16;7136
25;1.16;8324
25;1.16;9513
25;1.16;10703
25;1.16;11892
25;1.17;13079
25;1.16;14268
25;1.16;15456
25;1.15;16645
25;1.14;17833
25;1.14;19022
25;1.13;20209
25;1.14;21398
25;1.15;22586
25;1.16;23776
25;1.16;24964
25;1.16;26153
25;1.15;27341
25;1.15;28529
25;1.16;29717
26;1.09;1195
26;1.12;2383
26;1.13;3572
26;1.12;4759
26;1.12;5955
26;1.13;7144
26;1.12;8333
26;1.12;9521
26;1.12;10710
26;1.12;11941
26;1.11;13130
26;1.11;14318
26;1.11;15506
26;1.12;16695
26;1.12;17883
26;1.11;19073
26;1.11;20262
26;1.10;21450
26;1.11;22638
26;1.11;23827
26;1.11;25016
26;1.11;26204
26;1.11;27392
26;1.12;28581
26;1.14;29770
27;1.19;1195
27;1.22;2384
27;1.21;3572
27;1.23;4761
27;1.23;5949
27;1.23;7137
27;1.24;8326
27;1.24;9513
27;1.25;10702
27;1.25;11890
27;1.25;13079
27;1.24;14269
27;1.26;15458
27;1.26;16646
27;1.26;17833
27;1.26;19022
27;1.26;20211
27;1.25;21399
27;1.25;22588
27;1.24;23776
27;1.25;24963
27;1.24;26247
27;1.24;27434
27;1.23;28623
27;1.18;29811
28;1.10;1195
28;1.13;2384
28;1.14;3572
28;1.13;4761
28;1.13;5948
28;1.12;7136
28;1.13;8325
28;1.13;9515
28;1.14;10704
28;1.14;11893
28;1.14;13081
28;1.14;14269
28;1.15;15458
28;1.15;16646
28;1.14;17835
28;1.14;19023
28;1.14;20212
28;1.14;21403
28;1.13;22590
28;1.13;23778
28;1.14;24967
28;1.14;26156
28;1.15;27344
28;1.15;28533
28;1.15;29721
28;1.12;30908